Indicativ,Optimal_Partition,Partition_7
ab,c2,c6
ar,c2,c6
ag,c2,c6
bc,c1,c3
bh,c1,c4
bn,c1,c4
bt,c1,c3
br,c2,c6
bv,c2,c2
bz,c1,c4
cl,c1,c4
cs,c1,c4
cj,c2,c5
ct,c2,c5
cv,c1,c4
db,c1,c4
dj,c1,c4
gl,c1,c3
gr,c1,c4
gj,c2,c2
hr,c1,c4
hd,c1,c4
il,c1,c4
is,c1,c4
if,c2,c0
mm,c1,c4
mh,c1,c3
b,c0,c1
ms,c1,c4
nt,c1,c3
ot,c1,c3
ph,c2,c2
sj,c1,c4
sm,c1,c4
sb,c2,c6
sv,c1,c3
tr,c1,c3
tm,c2,c5
tl,c1,c4
vl,c1,c4
vs,c1,c3
vn,c1,c3
